type,sourcename,targetname,targetentitytype
System.String,new_mainemploymentcompany,new_mainemploymentcompany,
System.String,new_mainemploymentjobtitle,new_mainemploymentjobtitle,
System.Int32,new_mainemptype,new_mainemptype,Optionset
System.Guid,new_mainhomecountryid,new_mainhomecountryid,new_country
System.Guid,new_mainnationalityid,new_mainnationalityid,new_country
System.DateTime,new_modifiedon2,new_modifiedon2,
System.Guid,new_othernationalityid,new_othernationalityid,new_country
System.String,new_personalemailaddress1,new_personalemailaddress1,
System.String,new_personalemailaddress2,new_personalemailaddress2,
System.String,new_personalfax,new_personalfax,
System.String,new_personalfax2,new_personalfax2,
System.String,new_personalmobile,new_personalmobile,
System.Int32,new_personalmobilecountrycode,new_personalmobilecountrycode,
System.String,new_personalmobilenumber,new_personalmobilenumber,
System.String,new_personalphone1,new_personalphone1,
System.Int32,new_personalphone1countrycode,new_personalphone1countrycode,
System.String,new_personalphone1notes,new_personalphone1notes,
System.String,new_personalphone1number,new_personalphone1number,
System.String,new_personalphone2,new_personalphone2,
System.Int32,new_personalphone2countrycode,new_personalphone2countrycode,
System.String,new_personalphone2notes,new_personalphone2notes,
System.String,new_personalphone2number,new_personalphone2number,
System.String,new_phone1,new_phone1,
System.String,new_phone2,new_phone2,
System.String,new_phone3,new_phone3,
System.String,new_phone4,new_phone4,
System.Int32,new_preferredlanguage,new_preferredlanguage,Optionset
System.Guid,new_prefixid,new_prefixid,new_prefix
System.Boolean,new_prefixnotrequired,new_prefixnotrequired,
System.String,new_relationshipwithcontact,new_relationshipwithcontact,
System.String,new_salutationfullnamear,new_salutationfullnamear,
System.String,new_salutationfullnameen,new_salutationfullnameen,
System.Guid,new_salutationid,new_salutationid,new_salutation
System.Boolean,new_salutationnotrequired,new_salutationnotrequired,
System.Boolean,new_secretary1,new_secretary1,
System.String,new_secretaryarabicname,new_secretaryarabicname,
System.String,new_secretaryemail,new_secretaryemail,
System.String,new_secretaryfax,new_secretaryfax,
System.String,new_secretarymobile,new_secretarymobile,
System.String,new_secretaryname,new_secretaryname,
System.String,new_secretaryphone,new_secretaryphone,
System.DateTime,new_spousepartnerbirthday,new_spousepartnerbirthday,
System.Guid,new_stateprovinceid,new_stateprovinceid,
System.Guid,new_suffixid,new_suffixid,new_suffix
System.Boolean,new_vipcontact,new_vipcontact,
System.Boolean,new_vvipcontact,new_vvipcontact,
System.Guid,parentcustomerid,parentcustomerid,account
System.Int32,preferredcontactmethodcode,preferredcontactmethodcode,Optionset
System.String,suffix,suffix,
System.String,telephone1,telephone1,
